INTC,ASML,AMAT,AMD,QCOM,TSM,TXN,AVGO,NVDA,date,Semiconductor_Index,Current_Price,Baltic_Price,GPR,Treasury_Rate,News_Sentiment,Next_Day_Close,Target_Change
41.4831454982842,152.600492898462,31.666481187877,20.1747183093942,49.8598424780763,32.7251687868857,82.8185066210573,212.01293320817,37.9253563778174,2019-01-02,73.47407170733601,37.9253563778174,645.0,96.80016326904297,2.66,-0.08489382266998291,37.8798526258534,-0.0011998239782029815
41.5093191967821,152.736006011561,31.7590819093155,20.2083097311804,49.7516541098376,32.7088735864959,83.0007684472983,212.228794366974,37.8798526258534,2019-01-03,73.53140666503312,37.8798526258534,664.0,96.80016326904297,2.56,-0.09802907705307007,37.8456315057718,-0.0009034121758501127
41.5456954139776,152.96345395314,31.8749515023206,20.2600508331605,49.6418816667029,32.6982139690791,83.2138111263134,212.484711013108,37.8456315057718,2019-01-04,73.61426677595267,37.8456315057718,685.0,96.80016326904297,2.67,-0.09818539023399353,37.8199464600798,-0.0006786792734079066
41.5885024964388,153.272311140717,32.0105818406615,20.3269041994453,49.5299793317993,32.693351685894,83.4500761927889,212.803005561477,37.8199464600798,2019-01-07,73.72162876770018,37.8199464600798,1381.0,96.80016326904297,2.7,-0.0790184736251831,37.8005874571631,-0.0005118728271372699
41.6376323053452,153.654932700967,32.1636837913932,20.405805087054,49.4162152941151,32.6938770218247,83.7048008628414,213.189287860644,37.8005874571631,2019-01-08,73.85186915348308,37.8005874571631,1812.0,96.80016326904297,2.73,-0.07282572984695435,37.788216532209,-0.0003272680607971271
41.692835728707,154.110792742153,32.3347620246735,20.4954507007619,49.3017316797575,32.7008383901979,83.9763461681669,213.657195893107,37.788216532209,2019-01-09,74.0064633177482,37.788216532209,1812.0,96.80016326904297,2.74,-0.07754741609096527,37.7812737222648,-0.0001837294951001862
41.753769553697,154.628678831091,32.520416676264,20.5954639124434,49.1859073922986,32.7140644684977,84.2598965974843,214.207382559683,37.7812737222648,2019-01-10,74.18298374596931,37.7812737222648,1809.0,96.80016326904297,2.74,-0.08842331171035767,37.7789499468861,-6.15060094527527e-05
41.8197693508839,155.20177514131,32.7184131332748,20.7052458150248,49.0684751987536,32.7330405028636,84.5516976067781,214.843390588112,37.7789499468861,2019-01-11,74.3800841426541,37.7789499468861,1697.0,96.80016326904297,2.71,-0.09620101749897003,37.7801136143877,3.080200755279592e-05
41.8902976411913,155.828899056873,32.9278792242224,20.8228407203452,48.9482113093366,32.7574951616431,84.8494437230119,215.569946799409,37.7801136143877,2019-01-14,74.5972363611578,37.7801136143877,1147.0,96.80016326904297,2.71,-0.10346932709217072,37.7840199516499,0.00010339665206071219
41.9661126121577,156.508103356507,33.1477267563267,20.9467393481633,48.8252113541642,32.7879154018535,85.152978929144,216.387284469309,37.7840199516499,2019-01-15,74.8340102421417,37.7840199516499,1096.0,96.80016326904297,2.72,-0.10290071368217468,37.7903168473735,0.0001666549967857207
42.0465600510741,157.232822680103,33.3759816453397,21.075233549524,48.7013223336906,32.8235350423652,85.4589309159627,217.286131371973,37.7903168473735,2019-01-16,75.08787049304509,37.7903168473735,1055.0,96.80016326904297,2.73,-0.09392783790826797,37.7985118341703,0.0002168541436130259
42.1320462072252,158.002473399232,33.6107480351338,21.2086417031444,48.5768707473899,32.8645194942748,85.7664760979832,218.265352839558,37.7985118341703,2019-01-17,75.35840448423463,37.7985118341703,1077.0,96.80016326904297,2.75,-0.102825827896595,37.8073080770327,0.00023271399945567513
42.2215762963077,158.808717722184,33.8484957583825,21.3451655958184,48.4511962942216,32.90952706872,86.0734359067637,219.307544020562,37.8073080770327,2019-01-18,75.64144074888807,37.8073080770327,1112.0,96.80016326904297,2.79,-0.09755159169435501,37.8150349605672,0.00020437539532724096
42.3139481169727,159.640960617402,34.0855534853135,21.4812512894474,48.3216144515427,32.9573041834827,86.3760823937674,220.397613554351,37.8150349605672,2019-01-22,75.9321514503163,37.8150349605672,1036.0,96.80016326904297,2.74,-0.09812579303979874,37.8235791260156,0.000225946252788298
